match_id,set_no,game_no,point_no,player1,player2,elapsed_time,p1_distance_run,p2_distance_run,p1_sets,p2_sets,p1_games,p2_games,p1_points_won,p2_points_won,set_victor,game_victor,point_victor,p1_score,p2_score,server,serve_no,rally_count,speed_mph,serve_width,serve_depth,return_depth,p1_ace,p2_ace,p1_winner,p2_winner,winner_shot_type,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed
2023-wimbledon-1301,1,1,1,Carlos Alcaraz,Nicolas Jarry,0:00:00,6,7.84,0,0,0,0,0,1,0,0,2,0,0,1,2,2,95,BC,NCTL,ND,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2023-wimbledon-1301,1,1,2,Carlos Alcaraz,Nicolas Jarry,0:00:38,5.253,7.094,0,0,0,0,1,1,0,0,1,0,15,1,1,1,118,B,CTL,ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-wimbledon-1301,1,1,3,Carlos Alcaraz,Nicolas Jarry,0:01:01,13.8,19.808,0,0,0,0,1,2,0,0,2,15,15,1,1,4,120,B,NCTL,D,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2023-wimbledon-1301,1,1,4,Carlos Alcaraz,Nicolas Jarry,0:01:31,51.108,75.631,0,0,0,0,2,2,0,0,1,15,30,1,1,13,130,BW,CTL,D,0,0,1,0,F,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2023-wimbledon-1301,1,1,5,Carlos Alcaraz,Nicolas Jarry,0:02:21,0.649,0.813,0,0,0,0,3,2,0,0,1,30,30,1,1,1,112,W,NCTL,NA,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-wimbledon-1301,1,1,6,Carlos Alcaraz,Nicolas Jarry,0:02:50,5.291,4.249,0,0,0,0,3,3,0,0,2,40,30,1,2,2,97,BW,NCTL,ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-wimbledon-1301,1,1,7,Carlos Alcaraz,Nicolas Jarry,0:03:33,6.817,17.821,0,0,0,0,4,3,0,0,1,40,40,1,1,1,109,W,CTL,D,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-wimbledon-1301,1,1,8,Carlos Alcaraz,Nicolas Jarry,0:04:01,17.503,18.067,0,0,0,0,4,4,0,0,2,AD,40,1,2,6,105,B,NCTL,ND,0,0,0,1,F,0,0,0,0,0,1,0,1,0,0,0,0,0,0
2023-wimbledon-1301,1,1,9,Carlos Alcaraz,Nicolas Jarry,0:04:48,34.489,24.594,0,0,0,0,5,4,0,0,1,40,40,1,1,7,128,BC,CTL,D,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2023-wimbledon-1301,1,1,10,Carlos Alcaraz,Nicolas Jarry,0:05:32,21.235,27.427,0,0,0,0,6,4,0,1,1,AD,40,1,1,5,110,B,NCTL,ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-wimbledon-1301,1,2,11,Carlos Alcaraz,Nicolas Jarry,0:07:05,5.785,4.915,0,0,1,0,6,5,0,0,2,0,0,2,1,1,112,W,CTL,D,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-wimbledon-1301,1,2,12,Carlos Alcaraz,Nicolas Jarry,0:07:28,19.744,18.244,0,0,1,0,7,5,0,0,1,0,15,2,1,4,130,W,NCTL,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-wimbledon-1301,1,2,13,Carlos Alcaraz,Nicolas Jarry,0:08:06,26.013,18.626,0,0,1,0,8,5,0,0,1,15,15,2,1,4,120,C,NCTL,D,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2023-wimbledon-1301,1,2,14,Carlos Alcaraz,Nicolas Jarry,0:08:41,10.667,7.112,0,0,1,0,8,6,0,0,2,30,15,2,1,3,128,W,NCTL,ND,0,0,0,1,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-wimbledon-1301,1,2,15,Carlos Alcaraz,Nicolas Jarry,0:09:11,3.399,2.237,0,0,1,0,8,7,0,0,2,30,30,2,1,1,130,C,NCTL,ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-wimbledon-1301,1,2,16,Carlos Alcaraz,Nicolas Jarry,0:09:37,5.3,4.307,0,0,1,0,9,7,0,0,1,30,40,2,2,2,97,BW,NCTL,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-wimbledon-1301,1,2,17,Carlos Alcaraz,Nicolas Jarry,0:10:20,5.245,5.499,0,0,1,0,9,8,0,0,2,40,40,2,1,1,124,BC,NCTL,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-wimbledon-1301,1,2,18,Carlos Alcaraz,Nicolas Jarry,0:10:45,15.194,16.594,0,0,1,0,9,9,0,2,2,40,AD,2,1,3,116,C,NCTL,ND,0,0,0,1,F,0,0,0,0,0,1,0,1,0,0,0,0,0,0
2023-wimbledon-1301,1,3,19,Carlos Alcaraz,Nicolas Jarry,0:11:24,0.899,1.073,0,0,1,1,10,9,0,0,1,0,0,1,1,1,126,C,CTL,NA,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-wimbledon-1301,1,3,20,Carlos Alcaraz,Nicolas Jarry,0:11:47,18.088,34.756,0,0,1,1,11,9,0,0,1,15,0,1,1,5,127,W,CTL,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-wimbledon-1301,1,3,21,Carlos Alcaraz,Nicolas Jarry,0:12:17,7.288,10.818,0,0,1,1,11,10,0,0,2,30,0,1,1,2,114,BW,NCTL,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-wimbledon-1301,1,3,22,Carlos Alcaraz,Nicolas Jarry,0:12:44,42.166,32.944,0,0,1,1,12,10,0,0,1,30,15,1,1,9,127,B,NCTL,ND,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2023-wimbledon-1301,1,3,23,Carlos Alcaraz,Nicolas Jarry,0:13:26,3.782,4.479,0,0,1,1,13,10,0,1,1,40,15,1,2,1,103,BC,NCTL,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-wimbledon-1301,1,4,24,Carlos Alcaraz,Nicolas Jarry,0:15:31,12.601,13.713,0,0,2,1,13,11,0,0,2,0,0,2,2,3,107,BC,NCTL,ND,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2023-wimbledon-1301,1,4,25,Carlos Alcaraz,Nicolas Jarry,0:16:15,14.925,13.976,0,0,2,1,13,12,0,0,2,0,15,2,1,3,111,BW,NCTL,ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-wimbledon-1301,1,4,26,Carlos Alcaraz,Nicolas Jarry,0:16:47,0.903,1.067,0,0,2,1,13,13,0,0,2,0,30,2,1,1,125,C,NCTL,NA,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-wimbledon-1301,1,4,27,Carlos Alcaraz,Nicolas Jarry,0:17:08,20.027,7.402,0,0,2,1,13,14,0,2,2,0,40,2,1,3,126,W,NCTL,NA,0,0,0,1,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-wimbledon-1301,1,5,28,Carlos Alcaraz,Nicolas Jarry,0:17:49,15.352,29.366,0,0,2,2,14,14,0,0,1,0,0,1,1,5,116,W,CTL,ND,0,0,1,0,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-wimbledon-1301,1,5,29,Carlos Alcaraz,Nicolas Jarry,0:18:25,4.285,8.276,0,0,2,2,15,14,0,0,1,15,0,1,1,1,129,C,NCTL,ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-wimbledon-1301,1,5,30,Carlos Alcaraz,Nicolas Jarry,0:18:50,11.974,12.523,0,0,2,2,16,14,0,0,1,30,0,1,1,3,110,BC,NCTL,ND,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2023-wimbledon-1301,1,5,31,Carlos Alcaraz,Nicolas Jarry,0:19:20,5.609,6.965,0,0,2,2,16,15,0,0,2,40,0,1,2,2,113,BC,NCTL,ND,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2023-wimbledon-1301,1,5,32,Carlos Alcaraz,Nicolas Jarry,0:20:03,8.518,12.74,0,0,2,2,16,16,0,0,2,40,15,1,2,2,104,BC,NCTL,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-wimbledon-1301,1,5,33,Carlos Alcaraz,Nicolas Jarry,0:20:55,8.859,11.439,0,0,2,2,16,17,0,0,2,40,30,1,1,2,111,B,CTL,D,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
